ScientificName,Collection,Herbarium,Locality,DNA,FreePinna,TaperingPinna,Tapering Length (cm),LeafLength,LeafWidth,LWRatio,PercentTapered,LeafMargin,LeafDivision,Venation,Aerole,LeafBuds,RhizomeScales,RachisScales
Diplazium urticifolium,Sundue 4009,NY,Mexico,N,8,9,21,85.5,20,4.275,0.2456,Crenate,Pinnate,Pinnate,Rare,N,Y,N
Diplazium urticifolium,Hallberg 1451,NY,Mexico,N,13,7,9,79.5,18,4.4167,0.1132,Crenate,Pinnate,Pinnate,Rare,N,Y,Base Only
Diplazium urticifolium,Mickel 5654,NY,Mexico,N,6,9,NA,NA,24,NA,NA,Crenate,Pinnate,Pinnate,N,N,NA,N
Diplazium urticifolium,Mickel 5654,NY,Mexico,N,10,9,13.5,82.5,21,3.9286,0.1636,Crenate,Pinnate,Pinnate,Rare,N,N,N
Diplazium urticifolium,Hallberg 1486,NY,Mexico,N,9,5,16,66,20,3.3,0.2424,Serrate-Crenate,Pinnate,Pinnate,N,N,N,N
Diplazium grandifolium,Fendler 8,VT,Trinidad,N,8,5,14.5,NA,29.5,NA,NA,Serrate,Pinnate,Pinnate,N,N,NA,N
Diplazium grandifolium,Testo 2300,VT,Dominican Republic,N,5,4,17,78.5,14,5.6071,0.2166,Serrate-Crenate,Pinnate,Forks Once,N,N,Y,Base Only
Diplazium grandifolium,Hayes 61,VT,Panama,N,8,5,18,NA,26.5,NA,NA,Entire-Serrate,Pinnate,Pinnate,N,N,NA,N
Diplazium grandifolium,Churchill 3458,VT,Costa Rica,N,11,5,15.5,92,25,3.68,0.1685,Serrate,Pinnate,Pinnate,N,N,Y,Base Only
Diplazium grandifolium,Churchill 3454,VT,Costa Rica,N,11,5,18.5,NA,28,NA,NA,Serrate-Crenate,Pinnate,Pinnate,N,N,NA,Base Only
Diplazium grandifolium,Churchill 3458,VT,Puerto Rico,N,11,5,NA,NA,24,NA,NA,Entire-Serrate,Pinnate,Pinnate,N,N,NA,N
Diplazium sp. (hybrid),Hallberg 1615,NY,Mexico,N,1,NA,NA,NA,15.5,NA,NA,Entire,Ternate,Pinnate,Y,N,N,N
Diplazium sp. (hybrid),Hallberg 1615,NY,Mexico,N,1,NA,NA,57,17,3.3529,NA,Entire,Ternate,Pinnate,Y,Pinna Base,N,N